"Zap"	"Gloss"	"Trans"
"240"	"Li’eb-àa’ xi ni’ih gw-àa’z-ëng Gye’eihlly"	"Felipe-top what reason perf-hit-3sprox Mike"	"What about Felipe why did he hit Mike?"
"241"	"Miért MARI-t küldte boltba?"	"el János a boltba?"	"For bread"
"242"	"X:a mo’od r-ralloh lìu’ Gye’eihlly yzëhnny irr-arrive"	"? what way hab-think 2sinf Mike irr-arrive"	"How do you think MIKE will arrive?"
"243"	"Tu a’ti’ studya’aann-dya’ n-àa?"	"who neg student-dya’ neut-be"	"Who isn’t a student?"
"244"	"B-da’uh Gye’eihlly gueht èee?"	"perf-eat Mike tortilla Q"	"Did Mike eat tortillas?"
"245"	"Uu b-da’uh Gye’eihlly gueht?"	"Q perf-eat Mike tortilla"	"Did Mike eat tortillas?"
"246"	"Uu b-gyàa’ah Gye’eihlly?"	"Q perf-dance Mike"	"Did Mike dance?"
"247"	"Uu n-àa Gye’eihlly do’ctoor?"	"Q neut-be Mike doctor"	"Is Mike a doctor?"
"248"	"Uu s-to’oh Gye’eihlly ca’rr?"	"Q def-sell Mike car"	"Will Mike sell the car?"
"249"	"Laàa’ b-gyàa’ah Gye’eihlly?"	"Q perf-dance Mike"	"Did Mike dance?"
"250"	"Laàa’ Gye’eihlly b-gyàa’ah perf-dance"	"? Q Mike perf-dance"	"Did MIKE dance?"
"251"	"Laàa’ cë’ity b-gyàa’-(dya’) Gye’eihlly?"	"Q neg perf-dance-(dya’) Mike"	"Didn’t Mike dance?"
"252"	"Laàa’ do’ctoor nàa Gye’eihlly?"	"Q doctor neut-be Mike"	"Is Mike a doctor?"
"253"	"Laàa’ s-to’oh Gye’eihlly ca’rr?"	"Q def-sell Mike car"	"Will Mike sell the car?"
"254"	"Laàa’ y-to’oh Gye’eihlly ca’rr"	"Q irr-sell Mike car"	"Will Mike sell the car?"
"255"	"A Gye’eihlly b-gyàa’ah èee?"	"top Mike perf-dance Q"	"Did Mike dance?"
"256"	"Gye’eihlly b-gyàa’ah èee?"	"Mike perf-dance Q"	"Did MIKE dance?"
"257"	"Do’ctoor n-àa Gye’eihlly èee?"	"doctor neut-be Mike Q"	"Is Mike a doctor?"
"258"	"S-to’oh Gye’eihlly ca’rr èee?"	"def-sell Mike car Q"	"Will Mike sell the car?"
"259"	"Y-to’oh Gye’eihlly ca’rr èee?"	"irr-sell Mike car Q"	"Will Mike sell the car?"
"260"	"Uu n-u’uh tu ø-zuu loongdèe?"	"Q neut-exist who neut-stand outside"	"Is anyone outside?"
"261"	"Laàa’ n-u’uh tu ø-zuu loongdèe?"	"Q neut-exist who neut-stand outside"	"Is anyone outside?"
"262"	"N-u’uh tu ø-zuu loongdèe èee?"	"neut-exist who neut-stand outside Q"	"Is anyone outside?"
"263"	"N-u’uh tu do’ctoor n-u’uh rèe èee?"	"eut-exist who doctor neut-exist here Q"	"Are there any doctors here?"
"264"	"Laàa’ a’ti do’ctoor n-àa Gye’eihlly?"	"Q neg doctor neut-be Mike"	"Isn’t Mike a doctor?"
"265"	"A’ti do’ctoor n-àa Gye’eihlly èee?"	"neg doctor neut-be Mike Q"	"Isn’t Mike a doctor?"
"266"	"Laàa’ a’ti nnsini’cy n-àa Gye’eihlly?"	"Q neg intelligent neut-be Mike"	"Isn’t Mike intelligent?"
"267"	"A’ti nnsini’cy n-àa Gye’eihlly èee?"	"neg intelligent neut-be Mike Q"	"Isn’t Mike intelligent?"
"268"	"Laàa’ do’ctoor n-àa Gye’eihlly?"	"Q doctor neut-be Mike"	"Is Mike a doctor?"
"269"	"Do’ctoor n-àa Gye’eihlly èee?"	"doctor neut-be Mike Q"	"Is Mike a doctor?"
"270"	"Laàa’ r-a’cxùu Gye’eihlly?"	"Q hab-besick Mike"	"Has Mike been sick?"
"271"	"R-a’cxùu Gye’eihlly èee?"	"hab-besick Mike Q"	"Has Mike been sick?"
"272"	"Gye’eihlly xi b-da’uh Gye’eihlly?"	"Mike what perf-eat Mike"	"(As for) Mike what did Mike eat?"
"273"	"Uu s-to’oh Gye’eihlly ca’rr?"	"Q def-sell Mike car"	"Will Mike sell the car?"
"274"	"Uu b-gyàa’ah Gye’eihlly"	"Q perf-dance Mike"	"Did Mike dance?"
"275"	"N-àa-ng banguall"	"neut-be-3sprox old"	"He/she is old"
"276"	"X:-nnàaan-a’ n-u’ Sann Luu’c"	"poss-mother-1s neut-exist San Lucas"	"My mother is in San Lucas"
"277"	"Ca-bee’z-a’ lìu’"	"prog-wait-1s 2sinf"	"I am/was/will be waiting for you"
"278"	"Yzh:ii chih y-zëhny-a’ al b-da’uhw Gye’eihlly"	"tomorrow when irr-arrive-1s already perf-eat Mike"	"When I arrive tomorrow Mike will have already eaten"
"279"	"B-guhty-a’ bzihny"	"perf-kill-1s mouse"	"I killed a mouse"
"280"	"Yzh:ii chih y-zëhny-a’ al b-da’uhw Gye’eihlly"	"tomorrow when irr-arrive-1s already perf-eat Mike"	"When I arrive tomorrow Mike will have already eaten"
"281"	"G-uhc-ëng nnàa’ah"	"perf-be-3sprox heavy"	"He was heavy"
"282"	"B-yuall-a’"	"perf-thirsty-1s"	"I was thirsty"
"283"	"B-ìi’lly!"	"perf-sing"	"Sing!"
"284"	"Nài ø-nnaa Gye’eihlly a Li’eb b-ìi’lly"	"yesterday neut-say Mike TOP Felipe perf-sing"	"Yesterday Mike said Felipe sang"
"285"	"R-ahcx:ùu’w-a’ Gye’eihlly"	"ø-nnaa Gye’eihlly"	"Mikei said Ij am sick /"
"286"	"Guhc ø-nnaa Gye’eihlly r-ahcx:ùu’w Li’eb?"	"when neut-say Mike hab-sick Felipe"	"When did Mike say Felipe was sick?"
"287"	"A Li’eb b-ìi’lly ø-nnaa Gye’eihlly nài’"	"TOP Felipe perf-sing neut-say Mike yesterday"	"Yesterday Mike said Felipe sang"
"288"	"Nài ø-nnaa Gye’eihlly a Li’eb b-ìi’lly"	"yesterday neut-say Mike TOP Felipe perf-sing"	"Yesterday Mike said Felipe sang"
"289"	"Yzh:ii y-nnìi Gye’eihlly g-uhcx:ùu’w Li’eb"	"tomorrow irr-say Mike perf-sick Felipe"	"Tomorrow Mike will say Felipe was sick"
"290"	"G-uhcx:ùu’ Li’eb y-nnìi Gye’eihlly yzh:ii"	"perf-sick Felipe irr-say Mike tomoroow"	"Tomorrow Mike will say Felipe was sick"
"291"	"B-dëidy Lia Pa’amm li’ebr studya’aann nih g-uhcx:ùuw"	"perf-give Ms Pam book student REL perf-sick"	"Pam gave a book to the student who was sick"
"292"	"B-guhty-a’ bzihny"	"perf-kill-1s mouse"	"I killed a mouse"
