"Zap"	"Gloss"	"Trans"	"Lang"
"241"	"Lao quechi cetoba Corona Real face pueblo Cetoba"	"crown royal desta nueba Espâña of_this new Spain"	"'In the pueblo of Cetoba, [of the] Royal Crown of this New Spain'"	"CVZ"
"242"	"naha garbiel luis ni na-ca=ya beni gualachi Tuarijni 1SG Gabriel Luis REL NEU-be=1SG person native here lo"	"guecha San Sebastian Zetuba na-gaba=ya face pueblo San Sebastian Zetuba NEU-be.counted=1SG lo barrio Quiaqueza face barrio Quiaqueza"	"'I, Gabriel Luis, who is a native of here, of the pueblo of San Sebastian Zetuba, and count myself in the barrio Quiequeza'"	"CVZ"
"243"	"chela ti-ni=a lani yoho-tao lao becogo san juo and HAB-say=1SG stomach house-big"	"face altar Saint Juan ruacani cabeceras giu-gachi pela-lati=a here cabecera IRR-be_buried flesh-meat=1SG"	"'and I say [that] in the church, in front of / at the altar of Saint John here in the cabecera my body will by buried'"	"CVZ"
"244"	"toby=ga tomines r-oni=ja gona one=each tomines HAB-do=1SG"	"offering lao too-tobi=ga beecoogo face one-one=each altar"	"'I make an offering of one real to each altar'"	"CVZ"
"246"	"Loh Rra'i {… mnìi'iny loh po'op \"child with big cheeks\"} … lohar bi'ich blue-eyed, green-eyed {…"	"bùunny lohar bi'ich \"green-eyed person\"}… lohar bi'ich-bi'ichta' very blue-eyed, very green-eyed {… bùunny lohar bi'ich-bi'ichta' mnnaàa"	"' lohni'"	"SLQZ"
"247"	"quelàogáa"	""	"'primero o primeramente o principalmente'"	""
"248"	"ya go-calachi=ni ni-ozeñelao=ni que.lao=ga NEG PERF-want=3 NEU-reveal=3 first=CL"	"chela go-cazilachi=ni go-tete=ni tichapea and PERF-do_purposely=3 PERF-violate=3 command"	"'He did not want to reveal (them) at first but he purposely transgressed the order'"	"CVZ"
"250"	"zica be-togoticha alldes ni r-enaa lao auto thus PERF-judge alcaldes REL HAB-say face ruling ni"	"que.lao REL first 'thus the alcaldes have judged, what [it] says in the first ruling"	"' Thanks to Joe Benton for pointing MacLaury'"	"CVZ"
"251"	"yloh"	""	"'first'"	""
"253"	"Bèe'ecw ni-ga'ah cwe'eh gyiah."	"dog NEU-lie beside rock"	"'The dog was lying beside the rock'"	"TMZ"
"254"	"…y-dzhìe'll=tuu' to'ohby bdòo' do'oo'by zhuh IRR-find=2INF.PL one baby"	"NEU.wrapped_up loincloth ni-ga'ah cwe'eh peseebr NEU-lie beside stable"	"'You will find a baby wrapped in a loincloth, lying at the side of a stable'"	"TMZ"
"255"	"Dehts mu'syc a nàall mardo'mm behind band"	"already NEU.hang mayordomo cohnn raa=te' x:-piu'uz=ni'ih {de"	"'tsa'"	"TMZ"
"256"	"Zùub lo'ory guë'ëhcy gyahg. Zùub lo'ory"	"guë'ëhcy gyahg NEU.sit parrot on tree"	"'The parrot is sitting at the top of the tree'"	"SLQZ"
"257"	"Chi'c b-yèe'py mìi'iny guë'ëhcy to'ohby gyiah."	"then PERF-go_up child on one rock"	"'Then the child went up on a rock'"	"TMZ"
"258"	"Bzàa'llëng demasyaadtèe' zee'ihdy gue'ehcy ca'lld. {gue'ehcy cammyuuny \"on top of the car; Zùub lo'ory gë'ëhcy"	"gyahg \"The parrot is sitting at the top of the tree; Zùub mnìi'iny gue'ehcy ca"	"'j \"The boy is sitting on top of the box; Bzàa'"	"SLQZ"
"259"	"ny lao queche santo donmi[go] xiteni queque queche Huizo"	"here in town Santo Domingo of head town Huizo"	"'Here in the town of Santo Domingo belonging to the head of the town of Huizo'"	"CVZ"
"261"	"se-tobi cueelayoo ni-tete quique layoo xiteni DEF-one planted_field NEU-go_across head land of Don Juan peres Don Juan Perez 'another planted field crosses the top of the land of Don Juan Perez' In §3.1.4.1 I present"	"the locative meanings of làa'any in modern TVZ and in §3.1.4.2 I present the locative meanings of làa'any in Colonial Valley Zapotec. Làa'any, related to the component part term 'stomach', is used to mean containment"	"'in'"	"CVZ"
"262"	"N-u'uh guë'ëhcy bèe'ecw làa'any bo't bi'edr. NEU-be"	"head dog in jar glass 'The dog"	"'s head was in the glass jar'"	"TMZ"
"264"	"Bèe'ecw zuu"	"làa'any me'es."	"' Metaphorical containment may also be expressed by làa'"	"TMZ"
"265"	"B-èe'iny=nìi' aconteseer làa'any da zhih-cy"	"report a non-containment meaning of"	"'in'"	"TMZ"
"266"	"B-ìi'lly=ëng làa'any gyììe'b."	"PERF-sing=3PROX in metal"	"'He sang into a microphone'"	"SLQZ"
"267"	"B-ìi'lly=ba' làa'any gyììe'b"	"PERF-sing=3RESP in metal"	"'He sang into a microphone'/'He sang with a microphone'"	"TMZ"
"268"	"B-ìi'lly=ba' cohnn gyììe'b"	"PERF-sing=3RESP with metal"	"'He sang into a microphone'/'He sang with a microphone'"	"TMZ"
"269"	"alanij toby=ga tomines r-oni=ja gona lao too-tobi=ga item one=each tomines HAB-do=1SG offering face"	"one-one=each beecoogo nij n-aso=nij lani yochotoo gueche altar REL NEU-stand=3 stomach church town"	"'Also I make an offering of one real to each altar which is in the town church'"	"CVZ"
"270"	"quij-raa looa xteni=ya de liensoo nij IRR-all picture of=1SG"	"of linen REL n-oo=nij lanij yocho-lijchi=ya NEU-be=3 stomach house-POSS_house=1SG"	"'all my pictures on linen that are in my house'"	"CVZ"
"271"	"ti-elilaachij guela-na-banij selij HAB-believe NMLZ-NEU-live eternal"	"lanij guehuij quijebaa in palace sky"	"'I believe in eternal life in the palace of the sky (heaven).'"	"CVZ"
"272"	"lanni quichii escriptura de benta"	"in paper bill of sale"	"'in the bill of sale'"	"CVZ"
"275"	"Ana co-xopa gobicha r-izaa chiy laane-yo beo octubre now PERF-six sun HAB-fall day stomach-house month October 'Today, the sixth day in the month of October' As"	"mentioned above in §3.1.4.1, there is a Colonial example of the use of làa'any in a context where it may not have a meaning of 'in"	"' in the sense of containment. There are two such examples where làa'"	"CVZ"
"276"	"Bejuanna=na Jeesucristo xini dios lord=1PL Jesus.Christ child god"	"ni co-ti=ni lani crus REL PERF-die=3 stomach cross"	"'our lord Jesus Christ, child of God who died on the cross'"	"CVZ"
"277"	"Bejuana=na Jesuchristo xini-lij dios ni co-ti=ni lord=1PL Jesus.Christ child-true God REL PERF-die=3 lani yaga cruz na-yona stomach wood"	"cross NEU-sacred 'our lord Jesus Christ, the true child of God, who died on the sacred wooden cross"	"' Expressing \"on the cross\" with làa'"	"CVZ"
"278"	"Crie'st guhty loh cru'sy"	"Christ PERF.die on cross"	"'Christ died on the cross'"	"SLQZ"
"279"	"Jesus guhty loh cru's"	"Jesus PERF.die on cross"	"'Jesus died on the cross'"	"TMZ"
"280"	"Zuugwa'ah mìi'iny loh ca'rr. NEU.stand child in_front_of car 'The child is standing in front of the car' Loh can have both a meaning of \"gravitational 'on'\" and \"adhesional 'on'\". I use \"gravitational 'on'\" to describe situations where the Ground"	"is providing support to the Figure through gravity. Note that in English we could say the tablecloth is on the table and in a sense, it is also true that the table is under the table cloth. For gravitational"	"'on'"	"TMZ"
"281"	"X:a=nìi'i n-u'uh loh guix:lyuh?"	"how=3PROX NEU-be on earth"	"'How is it on the earth?'"	"TMZ"
"282"	"Loh me'es bèe'b manteel. Zapotec also uses"	"loh to describe some cases of adhesional"	"'on'"	"TMZ"
"283"	"Loh pareed càa teléfon."	"on wall NEU.hang telephone"	"'The telephone is hanging on the wall'"	"TMZ"
"284"	"Loh stampi càa guë'ëhcy=da=b. Finally,"	"loh can mean 'above' or"	"'over'"	"TMZ"
"286"	"Zùub mnìi'iny loh ca'j. . In addition to the meanings I have"	"already discussed, this entry provides examples of lohoh translated as 'in' and"	"'inside'"	"SLQZ"
"287"	"láo"	""	"'face [of a person] or face of an animal'"	"CVZ"
"289"	"tobi loo tobi lachi c-àca=to"	"one face one heart IRR-be=2PL"	"'you are to be of one face, one heart (i.e. you are to be in agreement)'"	"CVZ"
"290"	"huanee tiopa yocho tobij n-ohuij lao=nij nesaa loolaha chela and two house one NEU-look face=3 way"	"Oaxaca and see-toobij n-ohuij lao=nij nesena late r-asi goobijcha DEF-one NEU-look face=3 way place HAB-go_into sun"	"'and two houses: one, its face looks toward Oaxaca and the other one, its face looks toward the place where the sun goes in (west)'"	"CVZ"
"292"	"ri-guixelee-naalii=a lao pizaa"	"HAB-declare-truly=1SG face border_marker"	"'I truly declare the boundaries'"	"CVZ"
"294"	"cache loo sacramento n-aca quela-hue-chaga-naa seven face sacrament"	"NEU-be NMLZ-NMLZ-be_joined_with-hand ni la matrimonio REL be_named matrimony"	"'The seventh aspect of the sacrament is marriage, which is called matrimonio'"	"CVZ"
"295"	"ni r-ogozete xini=ni quela-còhue quela-hue-zaa=la REL HAB-teach child=3 NMLZ-drunkard NMLZ-NMLZ-idolatry=and"	"chela ce-chacuee loo xi-china bezeloo. and DEF-some face POSS-work devil"	"'who teach their children drunkenness, idolatry and other aspects of the work of the devil'"	"CVZ"
"296"	"qui-taa loo ni na-quiña qui-nnici-chahui xini=ni"	"IRR-all face REL NEU-necessary IRR-grow-well child=3"	"'all the aspects of that which is necessary for their children to develop well'"	"CVZ"
"297"	"qui-topa=ni c-òni=ni tobi-xe=ni qui-raa loo china"	"IRR-two=3 IRR-do=3 one-together=3 IRR-all face work"	"'the two of them can do together all aspects of the work (or all types of work)'"	"CVZ"
"298"	"c-òni=ni ce-chacuee loo china leçaa chiña nitij"	"IRR-do=3 DEF-some face work similar work this"	"'he should do other types of work similar to this (type of) work'"	"CVZ"
"300"	"lao=tonoo justicia aldes"	"before=1PL justice alcaldes"	"'before us, the justice-alcaldes'"	"CVZ"
"301"	"c-oni-laya=ni lato loo becogo"	"IRR-say-prayer=3 2PL face altar"	"'he will say a prayer for you in front of the altar'"	"CVZ"
"302"	"lao naa8 Dn Miguel de los angeles esriuano"	"face 1SG Don Miguel de los Angeles scribe"	"'Before me, Don Miguel de Los Angeles, scribe'"	"CVZ"
"303"	"lao=to ti-llaa xi-quionnaa Juan Peo"	"face=1PL HAB-be_broken POSS-land Juan Peo"	"'before us, the land of Juan Peo is divided'"	"CVZ"
"305"	"xoonoo xaana tobaa ny n-oo laoo layoo"	"eight plant maguey REL NEU-be face land"	"'eight maguey plants that are on the land'"	"CVZ"
"306"	"niacanij co-lo firma xitene=a lao quichi nitij"	"thus PERF-put signature of=1SG face paper this"	"'Thus I have put my signature on this paper'"	"CVZ"
"307"	"chela chona tezena azote lao picota and three dozen flogging face whipping_post 'and three dozen lashes on"	"/ at the whipping post' There are some cases when CVZ loh seems best translated with English"	"'in'"	"CVZ"
"308"	"coo-napea Maria de la Cruz laoo testamento xtenij=nij"	"PERF-order Maria de la Cruz on will of=3"	"'Maria de la Cruz mandated in her will'"	"CVZ"
"310"	"ya c-oni=to cica mani ya qui-chaga-xihui NEG IRR-do=2PL thus animal NEG IRR-meet-sinfully"	"leçaa=to loo tanni=la loo guiixi=la spouse=2PL face mountain=and face pasture=and 'You shouldn"	"'t do as the as animals (do), you should not sinfully meet (i.e. fornicate with) your spouse in the mountains and/or in the pasture'"	"CVZ"
"311"	"Da mìi'iny=i'ih ca-gyi'iht loh gyihzhya'ah."	"PL child=DIM PROG-play on grass"	"'The children are playing on the grass'"	"TMZ"
"312"	"Da mìi'iny=i'ih ca-gyi'iht làa'any gyihzhya'ah."	"PL child=DIM PROG-play in grass"	"'The children are playing in the grass'"	"TMZ"
"314"	"Jwaany r-bèèe'z làa'any mo'ont. . ('Hand' in Zapotec does"	"not correspond exactly with 'hand' in English. In Zapotec"	"'hand'"	"TMZ"
"316"	"Bra'au n-u'uh ni'ih zhìi'mmy. provides another example which is much"	"easier to translate into English: here ni'ih can to mean"	"'at the bottom of'"	"TMZ"
"317"	"Zhi'et zuu ni'ih yu'uh."	"cat NEU.stand at_foot_of house"	"'The cat is standing at the base of the house'"	"TMZ"
"322"	"Gyahg dêêi'dy ru'uh zhìi'mmy."	"Ru'uh can also mean"	"'in front of (a building)'"	"TMZ"
"323"	"Cay-uhny ra bùunny co'oll ru'uh dye'ennd"	"PROG-do PL person line at_mouth_of store"	"'People are in line in front of the store'"	"SLQZ"
"324"	"X:-tyo'p gusliiery cay-a'p DEF-two guards PROG-supervise ru'uh liehz gyììe'b. is provided below. ru'uh 1. mouth,"	"opening; edge {pssd. only; ru'a' \"my mouth\"; ru' ca'j \"the opening of the box\"; ru"	"' me'"	"TMZ"
"325"	"cheela n-aachagaa bysaa Bisente de mendossa and NEU-meets border_marker11 Vincente"	"de Mendosa nesena ruaa r-ijazij goobychaa toward mouth HAB-go_into sun"	"'and [the lot of land] meets the border marker of Vincente de Mendosa toward the edge the sun goes into (the west)'"	"CVZ"
"326"	"tobi cuelayo na rua one planted_field COP mouth"	"nesa xana yaga quichi way buttocks tree thorn"	"'one field [that] is on the edge of the road under the carob (?) tree'"	"CVZ"
"329"	"Zhyàa'ap zuu zh:àa' cammyoony."	"girl NEU.stand behind truck"	"'The girl is standing behind the truck'"	"TMZ"
"330"	"Bdòo' zòob zh:àa' me'es."	"baby NEU.sit under table"	"'The baby is sitting under the table'"	"TMZ"
"331"	"Zhi'et n-atga'ah zh:àa' gyahg. \", which can also be described as 'at the"	"buttocks of'. zh:àa' 1. bottom, buttocks {pssd. only; A bu'uhdy zubga'ah gue'ehcy zh:àa"	"' zhìi'"	"TMZ"
"332"	"Zh:ààa'n co'ch zuu bèe'ecw."	"behind car NEU.stand dog"	"'The dog is standing behind the car'"	"TMZ"
"335"	"R-ahc gahx: zh:ihby=a'."	"HAB-be near knee=1s"	"'(The area) near my knee hurts'"	"TMZ"
"336"	"Cwe'eh co'ch me'eu."	"side car dirty"	"'The side of the car is dirty'"	"TMZ"
"337"	"Cwe'eh co'ch me'eu."	"side car dirty"	"'(The area) beside the car is dirty'"	"TMZ"
"339"	"Gahx: me'es me'eu."	"near table dirty"	"'(The area) near the table is dirty'"	"TMZ"
"342"	"guë'ëhcy bìiny head"	"person 'the person"	"'s head'"	"TMZ"
"343"	"i.e. in order to qualify as an inherent component part, that part should"	"be so named regardless of the object's current orientation in space. The phrase"	"'inherent features'"	NA
"344"	"The front of the TV is cracked. It is also possible to assign a relative component part front to a TV"	"in English. Although judgments from English speakers vary, many speakers judge grammatical. In this case, front is defined by the TV"	"'s current orientation is space. Namely the side that is facing away from the wall, which we know is not the screen. However, in order to get a relative component part reading for front with a TV, it works best to set up a scenario where the TV either isn'"	NA
"345"	"The television is"	"broken, so we"	"'ve been using it as a shelf in the corner, with the screen facing down to protect it. My son got into some stickers yesterday and decorated the TV, and now the front of the TV is quite colorful! In determining what type of component part in involved in the front of the ship example, I'"	""
"346"	"Wb-tìi=a' pwe'ert asu'l."	"PERF-paint=1SG door blue"	"'I painted the door blue'"	"TMZ"
"347"	"Xniia wb-tìi=a' guë'ëhcy yu'uh."	"red PERF-paint=1SG head house"	"'I painted the roof red'"	"TMZ"
"348"	"Làa'any guë'ëhcy yu'uh wb-tìi=a' nquiets."	"stomach head house PERF-paint=1SG white"	"'I painted the ceiling white'"	"TMZ"
"349"	"Wb-tìi=a' têë'ix yu'uh asu'l."	"PERF-paint=1SG trunk house blue"	"'I painted the walls (interior or exterior) blue'"	"TMZ"
"350"	"ni'ih me'es"	"under table"	"'under the table'"	"TMZ"
"352"	"N-u'uh bèe'ell ni'ih ca'rr."	"NEU-be snake under car"	"'The snake is under the car'"	"TMZ"
"354"	"ya'annt"	""	"'tire'"	"TMZ"
"355"	"rrueed 'wheel' In this case, ni'ih 'under' cannot be functioning by identifying a component part of the"	"Ground, since the car has no part that can be referred to as ni'ih ca'rr 'the car"	"'s feet'"	"TMZ"
"356"	"quiah ca'rr head"	"car 'the car"	"'s head'"	"SJGZ"
"358"	"ni'ih me'es"	"foot table"	"'the leg of a table'"	"TMZ"
"359"	"Mìi'iny zòob cwe'eh ni'ih me'es."	"child NEU.sit beside foot table"	"'The child is sitting beside the leg of the table'"	"TMZ"
"360"	"Mìi'iny zòob cwe'eh me'es. '. This component part is an inherent part of the"	"table, i.e. the part of the table that is referred to as loh me'es"	"'tabletop'"	"TMZ"
"361"	"Loh me'es me'eu. Figure 16. tabletop I Figure 17. tabletop II Although loh me'es 'tabletop' can refer to the tabletop regardless of the orientation of the table, it cannot refer to the part of the"	"table that is the topmost, unless the table is in canonical orientation, as in Figure 16. Thus although the circled area Figure 18 is the topmost part of the table in the picture, loh me'es"	"'tabletop'"	"TMZ"
"362"	"Bèe'ecw zuu loh me'es. dog NEU.stand on table 'The dog is on the table'; Figure 19; Figure 20 Figure 19. dog and table I Figure 20. dog and table II Although there is a noun phrase loh me'es 'the tabletop', the Figure"	"does not need to be located at that part of the table when using the component part preposition loh 'on'. In fact, if the Figure is located by the tabletop, but is not on the table, then the component part preposition loh"	"'on'"	"TMZ"
"363"	"Bèe'ecw zuu cwe'eh me'es."	"dog NEU.stand beside table"	"'The dog is beside the table'"	"TMZ"
"364"	"N-u'uh bèèe'ld ni'ih ca'rr."	"NEU-be snake under car"	"'The snake is under the car'"	"SJGZ"
"366"	"nehz laad que'ihty r-dyehnny wbwihzh"	"way side where HAB-rise sun"	"'east (toward where the sun rises)'"	"SLQZ"
"367"	"nehz lahty r-dyehnny wbwihzh"	"way where HAB-rise sun"	"'east (toward where the sun rises)'"	"SLQZ"
"368"	"nehz laad que'ihty r-yààa'zy wbwihzy"	"way side where HAB-set sun"	"'west (toward where the sun sets)'"	"SLQZ"
"370"	"R-àa'p=a' tohby yuhuh solary ni r-zhàa'ag HAB-have=1SG one dirt solar REL HAB-meet cuhn mogoity x:tèe'en"	"Che'ent Mendo's with marker of Vincente Mendoza nehz gaht r-yu'uh gwihzh. way where HAB-enter sun"	"'I have one field that meets with the border marker of Vincent Mendoza toward where the sun enters (i.e. the west)'"	"TMZ"
"371"	"cheela n-aachagaa bysaa Bisente de mendossa and NEU-meet border_marker Vincente"	"de Mendoza nesena ruaa r-ijazij goobychaa way mouth HAB-go_into sun"	"'and [the lot of land] meets the border marker of Vincente de Mendoza toward the edge the sun goes into (the west)'"	"CVZ"
"372"	"huanee tiopa yocho tobij n-ohuij lao=nij nesaa loolaha and two house one NEU-look face=3 way Oaxaca"	"chela see-toobij n-ohuij lao=nij and DEF-one NEU-look face=3 nesena late r-asi goobijcha toward place HAB-go_into sun"	"'and two houses: one, its face looks toward Oaxaca and the other one, its face looks toward the place where the sun goes in (west)'"	"CVZ"
"373"	"Nyiss dòo'o n-u'uh cwe'eh Pwerto A'angl."	"water big NEU-be beside Puerto Angel"	"'The ocean is next to Puerto Angel'"	"TMZ"
"375"	"Mnnààa' zuu dehts co'ch."	"woman NEU.stand behind car"	"'The woman is standing behind the car'"	"TMZ"
"376"	"Mnnààa' zuu cwe'eh co'ch."	"woman NEU.stand beside car"	"'The woman is standing beside the car'"	"TMZ"
"377"	"Gyahg zuu cwe'eh pelo't."	"tree NEU.stand beside ball"	"'The tree is beside the ball'"	"TMZ"
"378"	"Bìinny zuu loh mìi'iny."	"person NEU.stand in_front_of child"	"'The person is standing in front of the child'"	"TMZ"
"379"	"Mnnààa' zuu dehts co'ch."	"woman NEU.stand behind car"	"'The woman is standing behind the car'"	"TMZ"
"380"	"Mnnààa' zuu cwe'eh co'ch."	"woman NEU.stand beside car"	"'The woman is standing beside the car'"	"TMZ"
"381"	"Aai'pa' aa-wáyya'a-ka alhfabi' pila-ho híkki'ya."	"table LOC-stand-DS left_side right-FOC.ACC stand"	"'He is standing to the left of where the table is standing'"	"C"
"382"	"The man is to the left of the table. . I present simplified"	"glosses here. Note that this sentence is bi-clausal. Thus it may be that"	"'where the car is standing'"	"E"
"386"	"Bìinny zuu dehts bzêiny."	"person NEU.stand behind deer"	"'The person is standing behind the deer'"	"TMZ"
"387"	"Gyahg zuu cwe'eh pelo't. tree NEU.stand beside"	"ball 'The tree is beside the ball"	"';  Figure 55;  Figure 56 Figure 55. tree and ball I                       Figure 56. tree and ball II In contrast to a ball, a bottle (quite surprisingly to me, since I do not understand what the difference is) does not have a component part cwe'"	"TMZ"
"388"	"Gyahg zuu cwe'eh bote'iy. tree NEU.stand beside bottle 'The tree is beside the bottle'; Figure 57, Figure"	"58 Figure 57. tree and bottle I Figure 58. tree and bottle II So while cwe'eh 'beside"	"' can be used to relate the tree to both the ball and the bottle, cwe'"	""
"389"	"Fru'at n-u'uh nnaàa' mnààa'. fruit NEU-be at_hand_of"	"woman 'The fruit is in the woman"	"'s hands'"	"TMZ"
"390"	"Byìi'u càa nnaàa' mnààa'. flea NEU.hang at_hand_of"	"woman 'The flea is on the woman"	"'s hand'"	"TMZ"
"391"	"Byìi'u càa' nnaàa' caba'iy."	"inherent component part nnaàa'"	"'hand'"	"TMZ"
"394"	"Bzë'ahz zòob dehts bzêiny."	"squirrel NEU.sit behind deer"	"'The squirrel is on the back of the deer'"	"TMZ"
"395"	"Mnnààa' zuu dehts co'ch."	"woman NEU.stand behind car"	"'The woman is standing behind the car'"	"TMZ"
"396"	"Mnnààa' zuu dehts me'es."	"woman NEU.stand behind table"	"'The woman is behind the table'"	"TMZ"
"397"	"Nguìu' zuu loh mìi'iny."	"man NEU.stand in_front_of child"	"'The man is in front of the child'"	"TMZ"
"398"	"Bzë'ahz zòob loh bzêiny."	"squirrel NEU.sit on deer"	"'The squirrel is on the deer'"	"TMZ"
"399"	"Loh me'es"	"me'eu. Loh"	"'on'"	"TMZ"
"400"	"Nguìu' zuu loh pelo't."	"man NEU.stand in_front_of ball"	"'The man is in front of the ball'"	"TMZ"
"401"	"Bzë'ahz zuu loh pelo't."	"man NEU.stand on ball"	"'The squirrel is of the ball'"	"TMZ"
"402"	"Pehr chih=nìi' w-ta'ihsy mìi'iny but when=NÌI' PERF-go_to_sleep"	"child zh:àa'at b-rììa' zh:àa'at toad PERF-leave toad"	"'But when the child went to sleep, the toad: the toad left'"	"TMZ"
"403"	"Chi'c b-rììa' cantidaad dyee'p."	"then PERF-leave many wasp"	"'Then a lot of wasps came out'"	"TMZ"
"404"	"Chi'c b-rììa' mìi'iny s-toohby laad"	"then PERF-leave child DEF-one side"	"'Then the child left through the other side'"	"TMZ"
"405"	"Pehr làa'any guêêë'dy=qui b-rììa' to'ohby niilly."	"but in hole=this PERF-leave one mole"	"'But a mole came out of this hole'"	"TMZ"
"406"	"Z-èe dyee'p yaàa'"	"DEF-go wasp up"	"'The wasps went up'"	"TMZ"
"407"	"Chi'c b-yèe'py mìi'iny guë'ëhcy to'ohby gyiah. . It seems"	"as though a simple noun phrase, such as me'es"	"'table'"	"TMZ"
"408"	"Bèe'ecw b-yèe'py loh me'es."	"dog PERF-go_up on table"	"'The dog went up on the table'"	"TMZ"
"409"	"Bèe'ecw b-yèe'py."	"dog PERF-go_up"	"'The dog went up'"	"TMZ"
"410"	"Bèe'ecw b-ye'eht loh me'es."	"dog PERF-go_down on table"	"'The dog got off the table'"	"TMZ"
"412"	"Bèe'ecw b-ye'eht loh me'es."	"dog PERF-get_off on table"	"'The dog got off the table'"	"TMZ"
"413"	"Chi'c b-yèe'py mìi'iny guë'ëhcy to'ohby gyiah."	"then PERF-go_up child on one rock"	"'Then the child got up on a rock'"	"TMZ"
"414"	"Nadòo' bèe'ecw b-lèe'py mìi'iny guë'ëhcy tru'unnc"	"first dog PERF-put_up child on log"	"'First the child put the dog on the log'"	"TMZ"
"415"	"B-dyèe'lly=a' gue'ehcyu'uh. PERF-fall_off=1SG roof 'I"	"fell off the roof' Làa'any"	"'in'"	"SLQZ"
"417"	"Chi'c bèe'ecw ca-lùu'uh x:-tro'omp=nìi' then dog PROG-put POSS-snout=3ANAP"	"làa'any bo't x:tèe' nnyi'his in jar of water"	"'Then the dog was putting his snout in the jar of water'"	"TMZ"
"418"	"Chi'c làa'any guêêë'dy nih n-àa' têë'ix gyahg then in hole"	"REL NEU-lie side tree b-rììa' to'ohby da'amm PERF-leave one owl"	"'Then from the hole which is on the side of the tree an owl came out'"	"TMZ"
"419"	"R-bèe' bùunny lango'ost làa'iny zu'aht HAB-take_out person lobster in"	"egg pahr ch-ìi'llèe' g-a'u bùunny=ih. for IRR-can IRR-eat person=3DST"	"'One has to remove a lobster from its shell in order to be able to eat it'"	"SLQZ"
"420"	"Bèe'ecw b-yèe'py loh me'es."	"dog PERF-go_up on table"	"'The dog went up on the table'"	"TMZ"
"422"	"Chi'c b-zh:êë'nny bzêiny ru'uh schu' barra'annc."	"then PERF-run deer at_edge_of edge ditch"	"'Then the deer ran to the edge of the ditch'"	"TMZ"
"423"	"B-lèe bèe'ecw guë'ëhcy=nìi' ru'uh venta'n. in both cases is yu'uh 'house'"	"and the object of the verb in both cases is gyèe'ts"	"'paper'"	"TMZ"
"426"	"B-x:èe'l=a' gyììa' loh x:-na'an=a'."	"PERF-send=1SG flower to POSS-mother=1SG"	"'I sent flowers to my mother'"	"TMZ"
"427"	"Li'eb b-ìe'ny co'br x:-mêëëlly=nìi' loh Jwaany."	"Felipe PERF-do collection POSS-money=3ANAP from John"	"'Felipe collected his money from John'"	"TMZ"
"428"	"Tu b-zì=u' nìi loh=nìi'?"	"who PERF-buy=2INF that from=3ANAP"	"'Who did you buy that from?'"	"SLQZ"
"429"	"B-ìe'ny=a' gaan to'ohby rràady loh rrie'f."	"PERF-do=1SG winning one radio at raffle"	"'We won a radio in / through / at the raffle'"	"TMZ"
"430"	"B-zhùu'azh=a' gueht loh bèe'cw."	"PERF-tear=1SG tortilla for dog"	"'I tore up the tortilla for (and in the presence of) the dog'"	"SLQZ"
"431"	"B-ìi'lly=a' loh x:-na'an=a'"	"PERF-sing=1SG for POSS-mother=1SG"	"'I sang for (and in the presence of) my mother'"	"TMZ"
"432"	"Chi'c bèe'ecw ca-du'uhx ca-gwi'ih loh to'ohby bteheh."	"then dog PROG-bark PROG-look at one hive"	"'Then the dog was barking and looking at a hive'"	"TMZ"
"433"	"Chi'c bèe'ecw ca-du'uhx ca-gwi'ih loh mìi'iny."	"then dog PROG-bark PROG-look at child"	"'Then the dog was barking and looking at the child'"	"TMZ"
"435"	"for {Tu rumbèu' loh ra bùunny nih btàa'az Gye'eihlly \"Which of the men who hit Mike do you know?, Which do you"	"know of the men who hit Mike?\"}; 10. than … {Zyuùa'llru' Rrodriiegw loh Lia Oliieb \"Rodrigo is taller than Olivia\"; Tu zyuùa'llru'a"	"' lohni'"	"B"
"436"	"R-a'ipy=a' loh chie'll=a'."	"HAB-tell=1SG to spouse=1SG"	"'I told my spouse'"	"TMZ"
"437"	"R-e'ipy=ëng Gye'eihlly xi g-uhc."	"HAB-tell=3PROX Mike what PERF-happen"	"'He told Mike what happened'"	"SLQZ"
"438"	"W-nniì=a' loh chie'll=a'."	"PERF-say=1SG to spouse=1SG"	"'I told my spouse'"	"TMZ"
"439"	"Zi'cy m-nnì=ëng nàa'."	"thus PERF-say=3PROX 1SG.FP"	"'He told me (thus)'"	"SLQZ"
"440"	"B-ri'xtiah=a' loh chie'll=a'."	"PERF-yell=1SG to spouse=1SG"	"'I yelled at my spouse'"	"TMZ"
"444"	"Loh chie'll=a' w-nniì=a'."	"at spouse=1SG PERF-say=1SG"	"'I spoke to my spouse'"	"T"
"447"	"Chi'c=ru' w-nnàa mìi'iny loh tyo'p zh:àa'at."	"then=still PERF-see child at two toad"	"'Then the child saw two toads'"	"TMZ"
"448"	"Chi'c=ru' w-nnàa mìi'iny tyo'p zh:àa'at."	"then=still PERF-see child two toad"	"'Then the child saw two toads'"	"TMZ"
"449"	"Chih=nìi' w-nnàa mìi'iny loh staal zh:àa'at."	"then=NÌI' PERF-see child at many toad"	"'Then the child saw lots of toads'"	"TMZ"
