"Zap"	"Gloss"	"Trans"	"Lang"
"173"	"Zye:einy-ru’ bx:aa:ady b-da’uhw-u’ cah (noo) ze’cy-dya’ mannsaan MUCH.sol/abs-ER chapulin"	"perf-eat-2sg than (NOO) thus-MUCH apple nih b-da’uhw-a’. rel perf-eat-lsg"	"‘You ate more chapulines than I ate apples’"	""
"174"	"Zye:einy-ru’ bx:aa:ady b-da’uhw-u’ cah (noo) ze’cy-dya’ ra MUCH.sol/abs-ER chapulin perf-eat-2sg"	"than (NOO) thus-MUCH pi mannsaan nih b-da’uhw-a’. apple rel perf-eat-lsg"	"‘You ate more chapulines than I ate apples’"	""
"175"	"Zye:einy-ru’ bx:aa:ady b-da’uhw-u’ cah (noo) mannsaan nih MUCH.sol/abs-ER"	"chapulin perf-eat-2sg than (NOO) apple rel b-da’uhw-a’. perf-eat-lsg"	"‘You ate more chapulines than I ate apples’"	""
"176"	"Zye:einy-ru’ bx:aa:ady b-da’uhw-u’ cah (noo) ra mannsaan nih MUCH.sol/abs-ER"	"chapulin perf-eat-2sg than (NOO) pi apple rel b-da’uhw-a’. perf-eat-lsg"	"‘You ate more chapulines than I ate apples’"	""
"177"	"Zyuu:a’ll-ru’ Lia Oliieb loh Rrodriiegw."	"tall-ER miss Olivia face Rodrigo"	"‘Olivia is taller than Rodrigo’"	""
"178"	"Zyuu:a’ll-ru’ Lia Oliieb lu:-a’."	"tall-ER miss Olivia face-lsg"	"‘Olivia is taller than me’"	""
"179"	"Francisco comprd mds discos gUg__M. Francisco buy.pret.3sg ER.MUCH.rn.pl records that 2sg.nom"	""	"‘Francisco bought more records than you(sg.fam.)’"	""
"180"	"Sandra es mds alta que nosotras."	"Sandra be.3sg ER tall-f that lpl.f.nom"	"‘Sandra is taller than us(f.)’"	""
"181"	"Heriberto durmid mds que Gisela."	"Heriberto sleep.pret.3sg ER.MUCH142 that Gisela"	"‘Heriberto slept more than Gisela’"	""
"182"	"Esta cancidn es mejor que la anterior."	"this.f song be.3sg good.ER that the-f previous"	"‘This song is better than the previous one’"	""
"183"	"Zye:einv-ru’ liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MUCH.sol/abs-ER book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"184"	"Zi:i’lly-ru’ biien gwe:e’eh Rrodriiegw cah Liieb."	"MUCH.liq/gas-ER wine perf.drink Rodrigo than Felipe"	"‘Rodrigo drank more wine than Felipe’"	""
"185"	"W-ta’ihsv-ru’ Rrodriiegw cah Liieb."	"perf-sleep-ER Rodrigo than Felipe"	"‘Rodrigo slept more than Felipe’"	""
"186"	"Connte’enn-ru’ n-u’ Jwaany cah Wsee. content-ER neut-be Juan thanJosd [with copula]"	""	"‘Juan is more content than Jose’"	""
"187"	"Nsinni ’cy-ru’ Jwaany cah Wsee. intelligent-ER"	"Juan than Jose [without a copula]"	"‘Juan is more intelligent than Jos6’"	""
"188"	"<Rrodriiegw b-zi:i:i’ zye:einy-ru’ liebr cah Liieb.>"	"Rodrigo perf-buy MUCH.sol/abs-ER book than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"189"	"<Rrodriiegw gwe:e’eh zi:i’lly-ru’ biien cah Liieb.>"	"Rodrigo perf.drink MUCH.liq/gas-ER wine than Felipe"	"‘Rodrigo drank more wine than Felipe’"	""
"190"	"<Rrodriiegw w-ta’ihsv-ru’ cah Liieb. > Rodrigo perf-sleep-ER than Felipe"	""	"‘Rodrigo slept more than Felipe’"	""
"191"	"<Jwaany n-u’ connte’enn-ru’ cah_Wsee.> Juan neut-be content-ER than Jos6"	""	"‘Juan is more content than Josd’"	""
"192"	"<Jwaany nsinni’cv-ru’ cah Wsee.>"	"Juan intelhgent-ER than Jose"	"‘Juan is more intelligent than Josd’"	""
"193"	"Juan comid m&s galletas que tortillas."	"Juan eat.pret.3sg ER.MUCH.f.pl cookies than tortillas"	"‘Juan ate more cookies than tortillas’"	""
"194"	"M£s profesores vinieron a la fiesta ER.MUCH.rn.pl"	"professors that students come.pret.3pl to the party"	"‘More professors than students came to the party’"	""
"195"	"M;Ss profesores vinieron a la fiesta que estudiantes."	"ER.MUCH.rn.pl professors come.pret.3pl to the party that students"	"‘More professors came to the party than students’"	""
"196"	"Mds profesores oue estudiantes me saludaron."	"ER.MUCH.rn.pl professors that students lsg.acc greet.pret.3pl"	"‘More professors than students greeted me’"	""
"197"	"Mds profesores me saludaron que estudiantes. ER.MUCH.rn.pl professors lsg.accgreet.pret.3pl that students"	""	"‘More professors greeted me than students’"	""
"198"	"Zye:einy-ru’ mes cah studva’aannd b-embi:-a’."	"MUCH.sol/abs-ER teachers than student perf-meet-lsg"	"‘I met more teachers than students’"	""
"199"	"Zye:einy-ru’ mes b-embi:-a’ cah studva’aannd."	"MUCH.sol/abs-ER teachers perf-meet-lsg than student"	"‘I met more teachers than students’"	""
"200"	"Zye:einv-ru’ me’s cah studva’aannd b-i:e’d lihaz-a’."	"MUCH.sol/abs-ER teachers than student perf-come house-lsg"	"‘More teachers than students came to my house’"	""
"201"	"Zye:einv-ru’ me’s b-i:e’d lihaz-a’ cah studva’aannd."	"MUCH.sol/abs-ER teachers perf-come house-lsg than student"	"‘More teachers came to my house than students’"	""
"202"	"Juan comi6 [ ]149 pizza. Juan eat.pret.3sg [x.MUCH.f] pizza"	""	"‘Juan ate pizza’"	""
"203"	"Juan comi6 mucha pizza."	"Juan eat.pret.3sg veiy.MUCH.f pizza"	"‘Juan ate a lot of pizza’"	""
"204"	"Juan comi6 mds pizza que yo."	"Juan eatpret.3sg ER.MUCH.f pizza than lsg.nom"	"‘Juan ate more pizza than me’"	""
"205"	"?B-zi:i:i’ Liieb zye:einy-ru’ liebr cah Rrodriiegw."	"perf-buy Felipe MUCH.sol/abs-ER book than Rodrigo"	"‘Felipe bought more books than Rodrigo’"	""
"206"	"B-zi:i:i’ Liieb ra liebr. [indefinite nominal"	"not fronted) perf-buy Felipe pi book"	"‘Felipe bought books’"	""
"207"	"X:o:on liebr b-zi:i:i’ Liieb. eight book"	"perf-buy Felipe [quantified noun phrase fronted]"	"‘Felipe bought 8 books’"	""
"208"	"B-zi:i:i’ Liieb x:o:on liebr. perf-buy Felipe eight book [quantified noun phrase not fronted]"	""	"‘Felipe bought 8 books’"	""
"209"	"Zye:einy liebr b-zi:i:i’ Liieb."	"MUCH.sol/abs book perf-buy Felipe"	"‘Felipe bought 8 books’"	""
"210"	"Ra LIEBR b-zi:i:i’ Liieb."	"pi book.foc perf-buy Felipe"	"‘Felipe bought BOOKS’"	""
"211"	"Rodrigo comprd m as lib ro s que Felipe. Rodrigo buy.pret.3sg ER.MUCH.rn.pl books that Felipe"	""	"‘Rodrigo bought more books than Felipe’"	""
"212"	"N sin n i’cy-ru’ na:a Jwaany cah Wsee. intelligent-ER neut.be Juan than Josd"	""	"‘Juan is more intelligent than Jose’"	""
"213"	"Juan es mds inteligente que Jose. Juanbe.3sg ER intelligent that Josd"	""	"‘Pam is more intelligent than Josd’"	""
"214"	"N se h e ’s-ru’ r-zh:u:u’nny Rrodriiegw"	"cah Liieb. fast-ER hab-run Rodrigo than Felipe"	"‘Rodrigo runs faster than Felipe’"	""
"215"	"Rodrigo corre mds rapido que Felipe."	"Rodrigo run.3sg ER fasLn that Felipe"	"‘Rodrigo runs more quickly than Felipe’"	""
"216"	"R -ca:a’z-[ ]-ru’ Liieb na:a’ cah"	"Rrodriiegw. hab-love-MUCH-ER1 Felipe lsg than Rodrigo"	"‘Felipe loves me more than Rodrigo’"	""
"217"	"Felipe me quiere m as a mf que"	"Rodrigo. Felipe lsg.acc love.3sg ER.MUCH p.a. lsg.obl.that Rodrigo"	"‘Felipe loves me more than Rodrigo (does)’"	""
"218"	"R -zh :u :u ’nny-[]-ru’ Rrodriiegw"	"cah Liieb. hab-run-MUCFP-ER Rodrigo than Felipe"	"‘Rodrigo runs more than Felipe’"	""
"219"	"Rodrigo corre mds que Felipe."	"Rodrigo run.3sg ER.MUCH that Felipe"	"‘Rodrigo runs more than Felipe’"	""
"220"	"N sin n i’cy-ru’ na:a Jwaany cah Wsee. intelligent-ER neut.be Juan than Josd"	""	"‘Juan is more intelligent than Jose’"	""
"221"	"Juan es mds inteligente que Josd. Juanbe.3sg ER intelligent that Jos6"	""	"‘Pam is more intelligent than Jose’"	""
"222"	"N se h e ’s-ru’ r-zh:u:u’nny Rrodriiegw"	"cah Liieb. fast-ER hab-run Rodrigo than Felipe"	"‘Rodrigo runs faster than Felipe’"	""
"223"	"Rodrigo corre mds rapido que Felipe."	"Rodrigo run.3sg ER fast.n than Felipe"	"‘Rodrigo runs more quickly than Felipe’"	""
"224"	"Zye:einy-ru’ liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MUCH.sol/abs-ER3 book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"225"	"Rodrigo comprri mas libros que Felipe."	"Rodrigo buy.pret.3sg ER.MUCH.rn.pl books that Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"226"	"Zyeseiny liebr b-zi:i:i’ Jwaany."	"MUCH.sol/abs book perf-buy Juan"	"‘Juan bought many books’"	""
"227"	"Zye:einy-daa:a’n liebr b-zi:i:i’ Jwaany."	"MUCH.sol/abs-very book perf-buy Juan"	"‘Juan bought very many books’"	""
"228"	"Zye:einy-ta’ liebr b-zi:i:i’ Jwaany.6"	"MUCH.sol/abs-too book perf-buy Juan"	"‘Juan bought too many books’"	""
"229"	"Zye:einy-ru’ liebr b-zi:i:i’ Jwaany cah Wsee."	"MUCH.sol/abs-ER book perf-buy Juan than Josd"	"‘Juan bought more books than Jose’"	""
"230"	"Ba:all liebr b-zi:i:i’ Jwaany ?7 how.MUCH.pl8 book perf-buy Juan"	""	"‘How many books did Juan buy ?’"	""
"231"	"(Te’ihby)-ze’cy-dya’ liebr nih b-zi-a’, one-thus-MUCH book rel perf-buy-lsg, (te’ihby)-ze’cy-dya ’ liebr b-zi:i:i’ Jwaany. one-thus-MUCH book perf-buy Juan"	""	"‘Juan bought as many books as I bought’"	""
"232"	"Juan compr6 much-[ ]-o-s12 libros. Juan buy.pret.3sg very-MUCH-m-pl books"	""	"‘Juan bought (very) many books’"	""
"233"	"i Cuant-[]-o-s libros comprd Juan? how-MUCH-m-pl books buy.pret.3sg Juan"	""	"‘How many books did Juan buy ?’"	""
"234"	"Juan comprd tant-[]-o-s libros 1-a vez pasada."	"Juan buy.pret.3sg so-MUCH-m-pl books the-f time past-f"	"‘Juan bought as many books last time’"	""
"235"	"Juan comprd tant-[]-o-s libros como yo."	"Juan buy.pret.3sg so-MUCH-m-pl books like lsg.nom"	"‘Juan bought as many books as me’"	""
"236"	"Juan comprd demasiad-[ ]-o-s libros. Juan buy.pret.3sg too-MUCH-m-pl books"	""	"‘Juan bought too many books’"	""
"237"	"Juan compr6 m£s14 libros que Miguel."	"Juan buy.pret.3sg ER.MUCH.rn.pl books that Mike"	"‘Juan bought more books than Mike’"	""
"238"	"Quiero que compres es-a cantidad de libros"	"want.lsg that buy.subj.2sg that-f quantity of books"	"‘I want you to buy that many books’"	""
"239"	"Quiero que compres asf de libros. want, lsg that buy.subj.2sg thus of books"	""	"‘I want you to buy this many books’"	""
"240"	"Juan compr6 asf de libros 1-a vez pasad-a."	"Juan buy.pret.3sg thus of books the-f time past-f"	"‘Juan bought that many books last time’"	""
"241"	"Juan compr6 es-a cantidad de libros 1-a vez pasad-a."	"Juan buy.pret.3sg that-f quantity of books the-f time past-f"	"‘Juan bought that many books last time’"	""
"242"	"R -ca:a’z-[]-ru’ Liieb na:a’ cah Rrodriiegw. hab-love-MUCH-ER Felipe lsg than Rodrigo"	""	"‘Felipe loves me more than Rodrigo’"	""
"243"	"Felipe me quiere mas a mf que Rodrigo. Felipe lsg.acc love.3sg ER.MUCH p.a. lsg.obl.that Rodrigo"	""	"‘Felipe loves me more than Rodrigo (does)’"	""
"244"	"R -zh :u :u ’nny-[]-ru’ Rrodriiegw"	"cah Liieb. hab-run-?-ER Rodrigo than Felipe"	"‘Rodrigo runs more than Felipe’"	""
"245"	"Rodrigo co rre mtis que Felipe. Rodrigo run.3sg ER.? that Felipe"	""	"‘Rodrigo runs more than Felipe’"	""
"246"	"Rodrigo corre mtis lejos que Felipe."	"Rodrigo run.3sg ER far that Felipe"	"‘Rodrigo runs farther than Felipe’"	""
"247"	"Zye’eht-ru’ r-zh:u:u’nny Rrodriiegw cah Liieb."	"far-ER hab-run Rodrigo than Felipe"	"‘Rodrigo runs farther than Felipe’"	""
"248"	"Rodrigo corre mds millas que Felipe."	"Rodrigo run.3sg ER.MUCH.f.pl miles that Felipe"	"‘Rodrigo runs more miles than Felipe’"	""
"249"	"Zye:einy-ru’ mii r-zh:u:u’nny Rrodriiegw cah Liieb."	"MUCH.sol/abs-ER miles hab-run Rodrigo than Felipe"	"‘Rodrigo runs more miles than Felipe’"	""
"250"	"Rodrigo corre (por) mds tiempo/ Rodrigo run.3sg (for) ER.MUCH.m"	"time/ mds horas que Felipe. ER.MUCH.f hours that Felipe"	"‘Rodrigo runs (for) more time / more hours than Felipe’"	""
"251"	"Zye:einy-ru’ oor / Xchih-ru’ r-zh:u:u’nny Rrodriiegw MUCH.sol/abs-ER hour"	"/ long.while-ER hab-run Rodrigo cah Liieb. than Felipe"	"‘Rodrigo runs (for) more time / longer than Felipe’"	""
"252"	"Seguiied-ru’ r-zh:u:u’nny Rrodriegw cah Liieb."	"often-ER hab-run Rodrigo than Felipe"	"‘Rodrigo runs more often than Felipe’"	""
"253"	"Rodrigo corre {mds seguido I con mds Rodrigo run.3sg ER often. / with"	"ER.MUCH.f frecuencia / mds frecuente-mente) que Felipe, frequency I ER frequent-ly that Felipe"	"‘Rodrigo runs more often / more frequently than Felipe’"	""
"254"	"Rodrigo corre mds [0 ] que Felipe."	"Rodrigo run.3sg ER [ ] that Felipe"	"‘Rodrigo runs more than Felipe’"	""
"255"	"R-zh:u:u’nny-0-ru’ Rrodriiegw cah Liieb. hab-run-[ ]-ER Rodrigo than Felipe"	""	"‘Rodrigo runs more than Felipe’"	""
"256"	"Felipe duerme mds 0 que til. Felipe sleep.3sg ER [ ] that 2sg.nom"	""	"‘Felipe sleeps more [hours/often] than you’"	""
"257"	"R-a’ihsy-0 -ru’ Felipe cah liru’w."	"hab-sleep-[ ]-ER Felipe than 2sg"	"‘Felipe sleeps more [hours/often] than you’"	""
"258"	"Felipe escribe mds 0 que tu. Felipe write.3sg ER [ ] that 2sg.nom"	""	"‘Felipe writes more [letters/often] than you’"	""
"259"	"R-cwa:a:a’-0 -ru’ Felipe cah li:u’w."	"hab-write-[ ]-ER Felipe than 2sg"	"‘Felipe writes more [letters/often] than you’"	""
"260"	"Juan es poco inteligente."	"Juan be.3sg NEG.very intelligent"	"‘Juan is not very intelligent’"	""
"261"	"Jean est peu intelligent. Jeanbe.3sg NEG.very intelligent"	""	"‘Jean is not very intelligent’"	""
"262"	"I am convinced that Estela is innocent, but Lucrecia doesn’t think so. [so represents the entire propositiouEy/e/a is innocent.] Even if one assumes, nevertheless, that so is definitely a pro-AdjP in the so- SLQZ also exhibits asymmetries between the adjectival and nominal degree The first example is a construction in which ta ’ann"	""	"‘so (much),48begins a 48 Munro, Lopez, et al (in preparation) define this word as ‘because’"	""
"263"	"Zyuu:a’ll-daa:a’n Wsee."	"tall-very Jos6"	"‘Jos6 is very tall’"	""
"264"	"Zyuu:a’ll-ta’ Wsee."	"tall-too Jos6"	"‘Jos6 is too tall’"	""
"265"	"Zye:einy-daa:a’n liebr b-zi:i:i’ Wsee."	"many-very book perf-buy Jose"	"‘Jos6 bought very many books’"	""
"266"	"Zi:i’lly-daa:a’n nnyi’ihs gwere’eh Wsee."	"MUCH.liq/gas-very water perf.drink Jos6"	"‘Josi drank very much water’"	""
"267"	"Zye:einy-ta’ liebr b-zi:i:i’ Wsee."	"MUCH.sol/abs-too book perf-buy Josd"	"‘Jos6 bought too many books’"	""
"268"	"Zi:i’lly-ta’nnyi’ihs gwe:e’eh Wsee. MUCH.liq/gas-too water perf.drink Josd"	""	"‘Jos? drank too much water’"	""
"269"	"Zyuu:a’ll-x:a’t Wsee."	"tall-very Jos6"	"‘Jose is very tall’"	""
"270"	"Zye:einy-x:a’t liebr b-zi:i:i’ Wsee."	"MUCH.sol/abs-very book perf-buy Jose"	"‘Jose bought very many books’"	""
"271"	"Zi:i’lly-x:a’t nnyi’ihs gwe:e’eh Wsee."	"MUCH.liq/gas-very water perf.drink Josd"	"‘Josi drank very much water’"	""
"272"	"£Qu6 tal si nos vemos manana? what such if ref! see. 1pi tomorrow"	""	"‘How about if we see each other tomorrow ?’"	""
"273"	"iQu6 tan importante es la prueba?"	"what so important be.3sg the.f test"	"‘How important is the test ?’"	""
"274"	"Cata’lly nsinni ’ey Jwaany"	"? how intelligent Juan"	"‘How intelligent is Juan ?’"	""
"275"	"Xi ze’cy-dya’ zyuu:a’ll Jwaany ? what thus-MUCH tall Juan"	""	"‘How tall is Juan’"	""
"276"	"Xi ze’cy-dya’ gyu’uhzh b-te:e’ch-u’ ? what thus-MUCH sand perf-drop-2sg"	""	"‘How much sand did you drop ?’"	""
"277"	"Xi ze’cy-dya’ nnyi’ihs gwe:e’eh Jwaany ?"	"what thus-MUCH water perf. drink Juan"	"‘How much water did Juan drink ?’"	""
"278"	"Te’ihby meetr cuahnn seseenn sentime’tr zyuura’ll Jwaany."	"one meter with sixty centimeter tall Juan"	"‘Juan is lm60cm tali’"	""
"279"	"Cata’lly zye:einy liebr b-zi:i:i’ Jwaany?"	"how MUCH.sol/abs book perf-buy Juan"	"‘How many books did Juan buy ?’"	""
"280"	"Xi ze’cy-dya’ liebr b-zi:i:i’ Liieb ? what thus-MUCH book perf-buy Felipe"	""	"‘How many books did Felipe buy ?’"	""
"281"	"Rodriiegw n-aann {xi ze’cy-dya’ / barall} liebr Rodrigo neut-know"	"what thus-MUCH / how.MUCH.pl book b-zi:i:i’ Liieb. perf-buy Felipe"	"‘Rodrigo knows how many books Felipe bought’"	""
"282"	"W-nubdi:i’zh Rrodriiegw na:a’ {xi ze’cy-dya’ / baall} liebr perf-ask Rodrigo"	"lsg what thus-MUCH / how.MUCH.pl book b-zi:i:i’ Liieb. perf-buy Felipe"	"‘Rodrigo asked me how many books Felipe bought’"	""
"283"	"(Te’ihby)-zagreen-tya’ liebr b-zi:i:i’ Jwaany."	"one-this-MUCH book perf-buy Juan"	"‘Juan bought this many books’"	""
"284"	"Te’ihby-zagreen-tya’53 gyu’uhzh: r-ca:a’z-a’."	"one-this-MUCH sand hab-want-lsg"	"‘I want this much sand’"	""
"285"	"(Te’ihby)-ze’cy-dya’ liebr nih b-zi:i:i’ Liieb, b-zi:i:i’ Rodriiegw."	"one-thus-MUCH book rel perf-buy Felipe perf-buy Rodrigo"	"‘Rodrigo bought as many books as Felipe bought’"	""
"286"	"(Te’ihby)-ze’cy-dya’ biien nih gwe:e’eh Wsee, gwere’eh Jwaany."	"one-thus-MUCH wine rel perf.drink Josd perf.drink Juan"	"‘Juan drank as much wine as Josd drank’"	""
"287"	"(Te’ihby)-ze’cy-dya’ nih zyuu:a’ll Lia Paamm, zyuu:a’U Gyeeihlly."	"one-thus-MUCH rel tall miss Pam tall Mike"	"‘Mike is as tall as Pam’"	""
"288"	"(Te’ihby)-ze’cy-dya’ nih nllaag mee’s re:e’, nllaag mee’s re:e."	"one-thus-MUCH rel wide table this wide table that"	"‘That table is as wide as this table’"	""
"289"	"Ze’cy-(eg) nih zyuu:a’ll Lia Paamm, zyuu:a’ll Gyeeihlly."	"thus-emph rel tall miss Pam tall Mike"	"‘Mike is as tall as Pam’"	""
"290"	"Ze’cy-(eg) nih zyuura’ll mee’s re:e\ zyuura’ll mee’s ree."	"thus-emph rel tall table this tall table that"	"‘That table is as wide as this table’"	""
"291"	"Ze’cy-(eg) / ??Ze’cy nih ca-zhi’ch Lia Paamm, thus-emph thus rel prog-angry miss Pam ca-zhi’ch Gyeeihlly. prog-angry Mike"	""	"‘Mike is as angry as Pam’"	""
"292"	"Ze’cy-eg nih difere’eenn nih n-a:a Liieb loh Jwaany, thus-emph rel different rel neut-be Felipe"	"face Juan ze’cy-eg difere’eenn n-a:a Gyeeihlly loh Jwaany.54 thus-emph different neut-be Mike face Juan"	"‘Mike is as different from Juan as Felipe is’"	""
"293"	"Te’ihby-ze’cy-dya’ gyu’uhzh: b-e:e:i’ny Gyeeihlly ua’s . one-thus-MUCH sand perf-do Mike use"	""	"‘Mike used that much sand’"	""
"294"	"La:a:a’ Jwaany b-zi:i:i’ te’ihby-ze’cy-dya’ liebr."	"focus Juan perf-buy one-thus-MUCH book"	"‘JUAN bought that many books’"	""
"295"	"a (Te’ihby)-ze’cy-dya’ zyuu:a’ll Gyeeihlly. one-thus-MUCH tall Mike"	""	"‘Mike is also that tall’"	""
"296"	"Ze’cy-cag-za’ zyuu:a’ll Gyeeihlly."	"thus-emph-also tall Mike"	"‘Mike is also that tall’"	""
"297"	"Ze’cy-eg-za’ zyuura’ll Gyeeihlly."	"thus-emph-also tall Mike"	"‘Mike is also that tall’"	""
"298"	"Ze’cy-cag-za’ zagru:u n-a;a x:-nna:aan-a’."	"thus-emph-also pretty neut-be poss-mother-lsg"	"‘My mom’"	""
"299"	"Ze’cy-dihzy zhyahah cajweell x:te:e’ x:-ca’rr-a’."	"thus-only full trunk poss poss-car-lsg"	"‘The trunk of my car is always this full’"	""
"300"	"Z-a:a’lle'eh ga’uw-u’ ba:all-tyehx: bx:aa:ady def-be.possible irr.eat-2sg"	"how.MUCH.pl-ever chapulin nih r-ca:a’z-u’. rel hab-want-2sg"	"‘You can eat however many chapulines you want’"	""
"301"	"Z-a-a’lle'eh y-co’-o’ baall-tyehx: liebr def-be.possible take.irr.-2sg.SAM"	"how.MUCH.pl-ever book nih rca:a’z-u\ rel hab-want-2sg"	"‘You can take as many books as you want’"	""
"302"	"Z-ara’lle'eh y-nni:i’-ne:e-u:u’ na:a’ ba:all-tyehx gweell def-be.possible irr-say-with-2sg lsg"	"how.MUCH.pl-ever time (nih) r-ca:a’z-u’ nahzhih.55 rel hab-want-2sg today"	"‘You can call me as many times as you want today’"	""
"303"	"Z-a:a’lle'eh gyi’-u’ ze’cy-dya’ nnyi’ihs nih r-ca:a’z-u’."	"def-be.possible irr.drink-2sg thus-MUCH water rel hab-want-2sg"	"‘You can drink as much water as you want’"	""
"304"	"Ceity-tya’ y-zhi’ch-a’ mahs ba:all-tyehx: liebr not-neg.59"	"irr-angry-lsg despite how.MUCH.pl-ever book si:i:-u’ def.buy-2sg"	"‘I won’"	""
"305"	"Mahs ba:all-tyehx: gweell y-nni:i’-ne:e-u:u’ na:a’ cei’ty-tya’ despite"	"how.MUCH.pl-ever time irr-say-with-2sg lsg not-neg y-zhi’ch-a’. irr-angry-lsg"	"‘I won’"	""
"306"	"Ceity-tya’ y-zhi’ch-a’ mahs blaa’c-tyehx: not-neg"	"irr-angry-lsg despite how.MUCH.$-ever y-xi:i’nny-u’. irr-spend-2sg"	"‘I won’"	""
"307"	"Mahs x:a’t-tyehx: cansaad n-u’-u’ pehr n-a:a-beg despite very-ever"	"tired neut-be-2sg but neut-be-emph pahr gyi:e’d-u’. for come.irr.-2sg"	"‘No matter how tired you are, you must come’"	""
"308"	"Estela vio demasiad-[ ]-a-s60 pelfculas el Estela see.pret.3sg too-MUCH-f-pl movies the.m mes pasad-o como para aburrir-se. month past-m like for bore-refl"	""	"‘Estela saw too many movies last month to get bored. ’"	""
"309"	"Estela est£ demasiado cansad-a (como) para trabajar."	"Estela be.3sg too tired-f like for to.work"	"‘Estela is too tired to work.’"	""
"310"	"Es increfble l-[]-a-s pelfculas que vio Estela be.3sg incredible the-MUCH-f-pl"	"movies that see.pret.3sg Estela el mes pasad-o. the.m month past-m"	"‘It’"	""
"311"	"Es increfble lo cansad-a que est£ Estela"	"be.3sg incredible the.n tired-f that be.3sg Estela"	"‘It’"	""
"312"	"Estela vio much-[]-a-s pelfculas el Estela see.pret.3sg"	"very-MUCH-f-pl movies the.m mes pasad-o. month past-m"	"‘Estela saw a lot of movies last month. ’"	""
"313"	"Estela estd muycansada. Estela be.3sg very tired"	""	"‘Estela is very tired.’"	""
"314"	"Estela vio tant-[]-a-s pelfculas como yo Estela see.pret.3sg so-MUCH-f-pl"	"movies like lsg.nom el mes pasad-o. the.m month past-m"	"‘Estela saw as many movies as me last month.’"	""
"315"	"Estela estd tan cansad-a como yo."	"Estela be.3sg so tired-f as lsg.nom"	"‘Estelais as tired as me.’"	""
"316"	"i Cu£nt-[ ]-o-s libros compraste ? how-MUCH-m-pl books buy.pret.2sg"	""	"‘How many books did you buy ?’"	""
"317"	"i Qu6 tant-[ ]-o-s libros compraste ? what so-MUCH-m-pl books buy.pret.2sg"	""	"‘How many books did you buy ?’"	""
"318"	"£Qu6 tan guap-o es tu prim-o ? what so handsome-m be.3sg 2sg.poss cousin-m"	""	"‘How handsome is your cousin (m.) ?’"	""
"319"	"£Cu£n guap-o es tu prim-o ? how handsome-m be.3sg 2sg.poss cousin-m"	""	"‘How handsome is your cousin (m.) ?’"	""
"320"	"^Qu6tan alt-o es tu prim-o? what so tall-m be.3sg 2sg.poss cousin-m"	""	"‘How tall is your cousin (m.) ?’"	""
"321"	"^Cudnto-f ] mide tu prim-o"	"? how-MUCH measure.3sg 2sg.poss cousin-m"	"‘How tall is your cousin (m.) ?’"	""
"322"	"? ^Qu6 tan viej-o es tu prim-o"	"? what so old-m be.3sg 2sg.poss cousin-m"	"‘How old is your cousin (m.) ?’"	""
"323"	"i Cu2nt-[ ]-o-s anos tiene tu prim-o ? how-MUCH-m-pl years have.3sg 2sg.poss cousin-m"	""	"‘How old is your cousin (m.) ?’"	""
"324"	"Juan es poco inteligente."	"Juan be.3sg NEG.very intelligent"	"‘Juan is not very intelligent’"	""
"325"	"Jean est peu intelligent. Jeanbe.3sg NEG.very intelligent"	""	"‘Jean is not very intelligent’"	""
"326"	"Peter is only a little (bit) intelligent In comparisons of amount, less and fewer consist of ER plus Similarly, Spanish menos consists of ER plus [NEG.MUCH] plus number The SLQZ equivalent of less is du:u’zh"	""	"‘(a) few’"	""
"327"	"Du:u’zh-ru’ nnyi’ihs b-e:e:i’ny-enn ua’s loh iihahz re:e’ NEG.MUCH-ER water"	"perf-do-lpl use face year this cah u-duhb-iihahz than perf-one-year"	"‘We used less water this year than last year’"	""
"328"	"Wzhi:i:e-ru’ nza’c liihaz Wsee cah liihaz Jwaany."	"NEG.very-ER pretty house Josd than house Juan"	"‘Jose’"	""
"329"	"Tomds comi6 mds de cinco hamburguesas."	"Tomds eat.pret.3sg ER.MUCH.f.pl of five hamburgers"	"‘Tomds ate more than five hamburgers’"	""
"330"	"Estela mantiene mds amistades de 1-f 1-a-s Estela maintain.3sg ER.MUCH.f.pl friendships of the-MUCH-f-pl que Tomds pierde. that Tomds lose.3sg"	""	"‘Estela maintains more friendships than Tomds loses’"	""
"331"	"Tomds comid mds hamburguesas que Wilfredo. Tomdseat.pret.3sg ER.MUCH.f.pl hamburgers that Wilfredo"	""	"‘Tomds ate more hamburgers than Wilfredo’"	""
"332"	"Estela toma mds vino que cerveza."	"Estela take.3sg ER.MUCH.m wine that beer"	"‘Estela drinks more wine than beer’"	""
"333"	"Estela vio mds que a mf sol-o - tambien Estelasee.pret.3sg ER.MUCH"	"that p.a lsg.obl alone-m also vio a Enrique. see.pret.3sg p.a Enrique"	"‘Estela saw more than just me - she also saw Enrique’"	""
"334"	"Zye:einy-ru’ bx:aa:ady b-da’uhw"	"Liieb cah Rrodriiegw."	"‘Felipe ate more chapulines than Rodrigo’"	""
